,Text,text_modified
10,The movie serves us Dragon Ball fans just right with a proper slice of life mix with action packed fights. Walking out of this movie you'll be completely satisfied with not only the plot and fight scenes but also the animation which everyone were quite skeptical about at first.,movie serves us dragon ball fans right proper slice life mix action packed fights walking movie youll completely satisfied plot fight scenes also animation everyone quite skeptical first
11,"Pros:
Piccolo and Gohan are finally given the spotlight again, maybe one last timeBoth receive new powerups, but appear to be a one-time thingLots and lots of fanservice everywhere, especially with Gohan using Special Beam Cannon to eliminate bootleg CellAlthough full CGI, it's wasn't that noticeable and the animation was incredibly smoothCons:
No real stakes for obvious reasons, since Goku and Vegeta could one shot the new villainThe final villain is bootleg Cell in his second form and is mindless. Felt like something out of Dragon Ball Heroes videogameOverall, good way to just pass the time. I don't think Piccolo or Gohan will ever again have the spotlight, but it was nice to see them do something.",pros piccolo gohan finally given spotlight maybe one last timeboth receive new powerups appear onetime thinglots lots fanservice everywhere especially gohan using special beam cannon eliminate bootleg cellalthough full cgi wasnt noticeable animation incredibly smoothcons real stakes obvious reasons since goku vegeta could one shot new villainthe final villain bootleg cell second form mindless felt like something dragon ball heroes videogameoverall good way pass time dont think piccolo gohan ever spotlight nice see something
12,"Dragon ball never disappoints and Super Superhero was no exception. From start to end it was spectacular. The fight scenes were unlike anything I have ever seen maybe except Super Broly. This is a movie you need to see either on an IMAX Screen or a PLF Screen. I saw it on the PLF Screen at the theater that I work at and I was speechless. Fantastic movie for the fans and I bet new fans will be made because of this movie.Parents go see it take your kids take the family yes it's PG-13, but it's great11/10.",dragon ball never disappoints super superhero exception start end spectacular fight scenes unlike anything ever seen maybe except super broly movie need see either imax screen plf screen saw plf screen theater work speechless fantastic movie fans bet new fans made movieparents go see take kids take family yes pg great
13,"Surprisingly heart felt story. Gohan, and Piccolo being the main focus of this flick was a great choice, as their dynamic has been lacking for awhile now up until this point. Super throwback to the first season of DBZ. Gohan finally confronts his lack of training, and we get to witness him actually take charge, as he sets out on his mission alone. The 3D animation is a welcomed addition to this franchise. The ending was somewhat abrupt, but tied up nicely with the post credit scene. I understand wanting to give other characters shine besides Goku/Vegeta, however I think they could've utilized them more efficiently within this story. Overall this is a perfect addition to this franchise, and we get oh so closer to the End of Z time period. Seeing teenage Trunks/Goten was the cherry on top for me.",surprisingly heart felt story gohan piccolo main focus flick great choice dynamic lacking awhile point super throwback first season dbz gohan finally confronts lack training get witness actually take charge sets mission alone animation welcomed addition franchise ending somewhat abrupt tied nicely post credit scene understand wanting give characters shine besides gokuvegeta however think couldve utilized efficiently within story overall perfect addition franchise get oh closer end z time period seeing teenage trunksgoten cherry top
14,"I thought the Broly movie was bad. But this? THIS? This takes the cake. All Dragon Ball Super: Superhero is, is a reboot of the entire Android and Cell sagas and a very terrible reboot with a few tweaks and different characters thrown into the mix. I knew from watching the trailers this movie looked awful but I wanted to see it for myself to really may a fair judgement and review. Yikes is all I could thinkThe Red Ribbon Army making another comeback, using Dr. Gero's grandson to make stronger androids and even a terrible Cell reboot character known as Cell Max who is Cell in his Semi Perfect Form but a giant with red and green colours. The Androids themselves - Gamma 1 and Gamma 2 superhero wannabe knockoffs who are misguided and turned good in the end. AwfulWhat's even worse is when Bulma made a wish to make her ass bigger. Are you kidding me? How stupid and pointless is that!. Granted Bulma can be a little vain but it was never....never to this degree before. It was completely out of character and there's so much more to her than just being thick. She's feisty, smart, funny, beautiful and everything in between. She was just used as comedic relief in very bad taste and just to appeal to the thirsty Dragon Ball fans that look at her onlineThe humour is awful and felt forced and too cheesy. There were some moments that made laugh but not always. Dragon Ball is known for it's humour in serious situations but usually it's organic and actually funny. This entire movie wasn'tI did like the fact this movie was mainly focused on Piccolo and Gohan instead of Goku and Vegeta who only make minor appearances. That was cool. But the plot was just utter garbage. Again they rehashed the plot of Gohan being too weak, he isn't strong as he used to be. Got to make him strong again. Got to push him past his limit and he does and gets a new form. Like we haven't seen that beforeIt was also cool seeing Pan being trained by Piccolo. Overall this movie was an embarrassment and as a life long Dragon Ball Fan that loves Dragon Ball, Dragon Ball Z, Dragon Ball GT and some parts of Dragon Ball Super. I was disgusted, ashamed and embarrassed to see this.",thought broly movie bad takes cake dragon ball super superhero reboot entire android cell sagas terrible reboot tweaks different characters thrown mix knew watching trailers movie looked awful wanted see really may fair judgement review yikes could thinkthe red ribbon army making another comeback using dr geros grandson make stronger androids even terrible cell reboot character known cell max cell semi perfect form giant red green colours androids gamma gamma superhero wannabe knockoffs misguided turned good end awfulwhats even worse bulma made wish make ass bigger kidding stupid pointless granted bulma little vain nevernever degree completely character theres much thick shes feisty smart funny beautiful everything used comedic relief bad taste appeal thirsty dragon ball fans look onlinethe humour awful felt forced cheesy moments made laugh always dragon ball known humour serious situations usually organic actually funny entire movie wasnti like fact movie mainly focused piccolo gohan instead goku vegeta make minor appearances cool plot utter garbage rehashed plot gohan weak isnt strong used got make strong got push past limit gets new form like havent seen beforeit also cool seeing pan trained piccolo overall movie embarrassment life long dragon ball fan loves dragon ball dragon ball z dragon ball gt parts dragon ball super disgusted ashamed embarrassed see
15,"First, the story is well balance and don't give less that a good history of DB show in the other movies (cannons).Second, the way that the animation in my opinion, was a 100% compatible with the scenes of action.Third, Toriyama made justice with Gohan... and place him at level of Vegita and Son Goku, yes I'm a fan of Gohan and wait already 30 years to see him in this level... cof cof cof.Four, if is a movie, all effects of sounds always are better in the theatre, and you enjoy it, it's true and this is the reasons why I go to see movies in theatre, and this movie of DB has a good effects.Fifth, I'm and fan of DB manga!!!",first story well balance dont give less good history db show movies cannonssecond way animation opinion compatible scenes actionthird toriyama made justice gohan place level vegita son goku yes im fan gohan wait already years see level cof cof coffour movie effects sounds always better theatre enjoy true reasons go see movies theatre movie db good effectsfifth im fan db manga
16,"This film was just a disappointment. Let's start with the artwork; I'm not going to bash the overall art style, when you start watching you just get used to it so it's not that bad, but some of the design choices are just awful. Cell looks like a Christmas decoration, Gohan's new powerup design is lame, and Piccolo.. he just makes me want to throw up it's so bad. Story wise, it's not great imo. I never liked the Gohan superhero arc in dbz so I can easily say I was biased from the start, but I just didn't enjoy it.Overall: this coming after dbs Broly is a huge letdown. I really hope this was a one-off and the next dbs season doesn't follow in BotG's footsteps by continuing this in the anime.",film disappointment lets start artwork im going bash overall art style start watching get used bad design choices awful cell looks like christmas decoration gohans new powerup design lame piccolo makes want throw bad story wise great imo never liked gohan superhero arc dbz easily say biased start didnt enjoy itoverall coming dbs broly huge letdown really hope oneoff next dbs season doesnt follow botgs footsteps continuing anime
17,"I love all the serious reviews haha, this movie is great and just a fun ride throughout. I like the focus on Gohan and Piccolo and the epic ending. Some nice call backs and new surprises. I found the CG very tastefully done.",love serious reviews haha movie great fun ride throughout like focus gohan piccolo epic ending nice call backs new surprises found cg tastefully done
18,"I know plenty of reviews have already mentioned it, the new animation really doesn't look bad, but it definitely does feel a bit like a cutscene from a game at certain parts. For the most part though it's not that big of a deal.My biggest issue with the animation style was actually Dr Hedo, his character design looked a little out of place. Some characters are more classic cartoon villains like Commander Magenta who I thought was an excellent design, much like earlier Dragonball villains. Whereas the main characters feel much closer to humans than charicatures, but Dr Hedo kind of falls in between those styles.As a character I felt much the same, his drive to make superheroes while siding with the villains (originally at least) and his change in attitude towards the end doesn't quite work as well. Especially since Gamma 1&2 make that turn better and it made a lot more sense for them to do so because they really did think they were the heroes. Hedo however admitted he knew he was wrong from the start.I'll admit I have a great soft spot for Cell, so was glad to see him return again in some form. A little let down that he wasn't much of a character, he just kind of grunts and screams. Plus he appeared to be an adaptation of 2nd form Cell which, personally my least favourite form. But the design looks pretty good and the fight itself has a lot of good moments.It probably sounds like i've been overly critical so far, so i'll finish with what I really loved about this. The humour is top notch and fits perfectly with what you expect from DB, the movie took a route I always want and in multiple ways. They finally did a story with Goku and Vegeta, but the heroes were essentially everyone else and they weren't just bystanders they all played an important part in winning the fight. On a similar note we finally got a transformation/upgrade for Piccolo who is a character who has always deserved it. They also had great Gohan appreciation and almost a return to his older power plus it is a great thumbs up that he used one of Piccolo's attacks one which is also acknowleged by Piccolo himself.Finally this movie called back a lot to different parts of the history and lore, and it added to it. Despite being a fan of Dragonball since the 90's, the emotional scenes still make me misty eyed. Seeing Gohan fight for Pan or Piccolo, seeing Piccolo training Pan. Seeing Krillin's hesitation to fight but overcoming it to save 18 and help his friends? Those are parts I will always love.",know plenty reviews already mentioned new animation really doesnt look bad definitely feel bit like cutscene game certain parts part though big dealmy biggest issue animation style actually dr hedo character design looked little place characters classic cartoon villains like commander magenta thought excellent design much like earlier dragonball villains whereas main characters feel much closer humans charicatures dr hedo kind falls stylesas character felt much drive make superheroes siding villains originally least change attitude towards end doesnt quite work well especially since gamma make turn better made lot sense really think heroes hedo however admitted knew wrong startill admit great soft spot cell glad see return form little let wasnt much character kind grunts screams plus appeared adaptation nd form cell personally least favourite form design looks pretty good fight lot good momentsit probably sounds like ive overly critical far ill finish really loved humour top notch fits perfectly expect db movie took route always want multiple ways finally story goku vegeta heroes essentially everyone else werent bystanders played important part winning fight similar note finally got transformationupgrade piccolo character always deserved also great gohan appreciation almost return older power plus great thumbs used one piccolos attacks one also acknowleged piccolo himselffinally movie called back lot different parts history lore added despite fan dragonball since emotional scenes still make misty eyed seeing gohan fight pan piccolo seeing piccolo training pan seeing krillins hesitation fight overcoming save help friends parts always love
19,"I gotta say, after watching the English Dub with my big brother and my uncle last night, I have got to say... It was the best anime film I have ever seen in my entire life. I mean, look at the nostalgic, flawless. Terrific scenes and animations, and how hard Toei Animation has made them. They're magnificent. It gives out the greatest vibes especially for Gohan getting his time to shine in the film. It's good to have the Shoop Da Whoop guy back, and perfect heartwarming and funny moments, too. I'm sure this anime film is going to be the best box office hit for sure. Ready for the next Dragon Ball Super film! :)",gotta say watching english dub big brother uncle last night got say best anime film ever seen entire life mean look nostalgic flawless terrific scenes animations hard toei animation made theyre magnificent gives greatest vibes especially gohan getting time shine film good shoop da whoop guy back perfect heartwarming funny moments im sure anime film going best box office hit sure ready next dragon ball super film
20,"I had fun. Build up and payout was nice, animation smooth. One of the best, if not the best Dragon Ball movie to date. Was refreshing to see it focused on someone else than usual absurd beefcakes.",fun build payout nice animation smooth one best best dragon ball movie date refreshing see focused someone else usual absurd beefcakes
21,"DBS Super Hero is a fun and awesome movie. The action scenes are great. It's really funny, I laughed out loud numerous times. There is some clever self-referential humor. It takes it's time developing the new characters and feels like a full movie rather than a few combined episodes.I like DBS: Broly better and was a bit disappointed certain characters take a backseat, but this is definitely a good time and worth seeing on a premium screen. (1 viewing, opening Thursday IMAX 8/18/2022)",dbs super hero fun awesome movie action scenes great really funny laughed loud numerous times clever selfreferential humor takes time developing new characters feels like full movie rather combined episodesi like dbs broly better bit disappointed certain characters take backseat definitely good time worth seeing premium screen viewing opening thursday imax
22,"Not only me but I guess most of us fans or not we're happy to see the movie was better than we anticipated. At least that was the impression I had when I first watched the movie. It was a treat for all of us who had Piccolo and Gohan as some of the most beloved characters during DBZ and definitely saw them not being so important in Super up until now. Seeing so many references from the DBZ Androids/Cell saga even from the original DB was really cool as we entered a new era of Dragon Ball and most of the new fans who got introduced to the franchise from the Super era probably don't know the significance of some of the moves/forms were used in this movie, especially the finishing move! Dragon Ball is alive and kicking and I have a feeling this is only the beginning.Am I the only one who's sensing they are gonna use these new forms of Gohan and Piccolo along with Goku's UI and Vegeta's UE and also let's not forget Broly into something far greater? Possibly a new tournament of power or kind of event against something crazy? Well this movie definitely gave to Piccolo and Gohan the boost they needed in order to at least be relevant again and I am glad they did.",guess us fans happy see movie better anticipated least impression first watched movie treat us piccolo gohan beloved characters dbz definitely saw important super seeing many references dbz androidscell saga even original db really cool entered new era dragon ball new fans got introduced franchise super era probably dont know significance movesforms used movie especially finishing move dragon ball alive kicking feeling beginningam one whos sensing gonna use new forms gohan piccolo along gokus ui vegetas ue also lets forget broly something far greater possibly new tournament power kind event something crazy well movie definitely gave piccolo gohan boost needed order least relevant glad
